id,name,type,url,description,tags,tasks,modalities,organism,license,api,paper,updated
chembl_web_services,ChEMBL Web Services,api,https://www.ebi.ac.uk/chembl/ws,"REST API for bioactive molecules, targets, and bioassays.",api,,,,,True,,
clinicaltrials_gov_api,ClinicalTrials.gov API,api,https://clinicaltrials.gov/api/gui,API for querying clinical trial metadata and results.,api,,,,,True,,
ensembl_rest_api,Ensembl REST API,api,https://rest.ensembl.org/,"API for genomic annotations, variants, genes, and comparative genomics.",api,,,,,True,,
kegg_rest_api,KEGG REST API,api,https://www.kegg.jp/kegg/rest/keggapi.html,"API for accessing KEGG pathways, compounds, genes, and reactions.",api,,,,,True,,
ncbi_e_utilities,NCBI E-utilities,api,https://www.ncbi.nlm.nih.gov/books/NBK25501/,"Unified APIs for accessing NCBI databases (Gene, GEO, SRA, PubChem, etc).",api,,,,,True,,
open_targets_platform_api,Open Targets Platform API,api,https://platform.opentargets.org/api,"API for target–disease associations integrating genetics, genomics, and drug data.",api,,,,,True,,
pubmed_e_utilities_esearch_efetch,PubMed E-utilities (esearch/efetch),api,https://www.nlm.nih.gov/dataguide/edirect/esearch.html,APIs for searching and retrieving biomedical literature from PubMed.,api,,,,,True,,
uniprot_rest_api,UniProt REST API,api,https://www.uniprot.org/help/api,Programmatic access to protein sequence and functional annotation data.,api,,,,,True,,
1000_genomes_project,1000 Genomes Project,benchmark,https://www.internationalgenome.org/,"Reference panel of human genetic variation from 2,504 individuals across 26 populations.",benchmarks-and-datasets,,,,,False,,
bace,BACE,benchmark,https://www.kaggle.com/datasets/gokturkkoch/bace,Binary classification and regression dataset for β-secretase 1 (BACE-1) inhibitor binding affinity.,benchmarks-and-datasets,,,,,False,,
beat_aml,BEAT AML,benchmark,https://biodev.github.io/BeatAML2/,Functional ex vivo drug sensitivity measurements paired with genomics for acute myeloid leukemia.,benchmarks-and-datasets,,,,,False,,
bento,Bento,benchmark,https://github.com/LigandPro/Bento,"Protein-ligand docking benchmark covering rigid, flexible, de novo, blind, induced-fit, and covalent docking tasks.",benchmarks-and-datasets,,,,,False,,
bindingdb_curated_sets,BindingDB Curated Sets,benchmark,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/SDFdownload.jsp?all_download=yes,Curated binding affinity datasets for protein–ligand interaction benchmarking.,benchmarks-and-datasets,,,,,False,,
